DeployID,Longitude,Latitude,Time,Day
ZcTag054,-74.71151,35.58049,16:17,2017-05-10
ZcTag055,-74.71157,35.57485,16:37,2017-05-10
ZcTag056,-74.70462,35.53482,18:59,2017-05-10
ZcTag057,-74.69643,35.63910,17:49,2017-05-16
ZcTag058,-74.71478,35.57669,19:48,2017-05-16
ZcTag060,-74.75678,35.58952,17:20,2017-08-17
ZcTag061,-74.72939,35.60526,18:09,2017-08-17
ZcTag062,-74.70781,35.64219,21:32,2017-08-17
ZcTag063,-74.71815,35.54099,16:53,2017-08-20
ZcTag064,-74.70881,35.52526,17:41,2017-08-20
ZcTag065,-74.79044,35.52508,17:09,2017-08-22
ZcTag066,-74.74785,35.58682,14:14,2017-09-04
ZcTag067,-74.72644,35.59647,14:52,2017-09-04
ZcTag068,-74.75422,35.57638,16:15,2017-09-04

