"DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","DepthMean","DepthError"
"ZcTag054",53643,1,"Transmission","Mk10",17,1494433020,1494468488,"Message",8,"",NA,NA,35460,35476,NA,NA,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",17,1494433020,1494434242,"Surface",NA,"",NA,NA,1221,1223,39,1183,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",17,1494434242,1494437936,"Dive",1,"U",1504,1535,3693,3695,NA,NA,1519.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",17,1494437936,1494442754,"Surface",NA,"",NA,NA,4817,4819,155,4663,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",17,1494442754,1494446694,"Dive",1,"U",1600,1631,3939,3941,NA,NA,1615.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",17,1494446694,1494456744,"Surface",NA,"",NA,NA,10049,10051,324,9726,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",17,1494456744,1494460836,"Dive",1,"U",1856,1887,4091,4093,NA,NA,1871.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",17,1494460836,1494464170,"Surface",NA,"",NA,NA,3333,3335,108,3226,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",17,1494464170,1494468488,"Dive",1,"U",2128,2191,4317,4319,NA,NA,2159.5,31.5
"ZcTag054",53643,1,"Transmission","Mk10",12,1494468480,1494506294,"Message",8,"",NA,NA,37806,37822,NA,NA,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",12,1494468480,1494475292,"Surface",NA,"",NA,NA,6811,6813,220,6592,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",12,1494475292,1494479814,"Dive",1,"U",2320,2383,4521,4523,NA,NA,2351.5,31.5
"ZcTag054",53643,1,"Transmission","Mk10",12,1494479814,1494487426,"Surface",NA,"",NA,NA,7611,7613,246,7366,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",12,1494487426,1494491192,"Dive",1,"U",1440,1471,3765,3767,NA,NA,1455.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",12,1494491192,1494496134,"Surface",NA,"",NA,NA,4941,4943,159,4783,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",12,1494496134,1494499468,"Dive",1,"V",1440,1471,3333,3335,NA,NA,1455.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",12,1494499468,1494502694,"Surface",NA,"",NA,NA,3225,3227,104,3122,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",12,1494502694,1494506294,"Dive",1,"U",1472,1503,3599,3601,NA,NA,1487.5,15.5
"ZcTag054",53643,1,"Transmission","Mk10",14,1494506280,1494552500,"Message",8,"",NA,NA,46212,46228,NA,NA,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",14,1494506280,1494516858,"Surface",NA,"",NA,NA,10577,10579,341,10237,NA,NA
"ZcTag054",53643,1,"Transmission","Mk10",14,1494516858,1494521212,"Dive",1,"U",2256,2319,4353,4355,NA,NA,2287.5,31.5
